Gender;Weight;Size;Eyes;Hair;Shoesize;Mathgrade;Germangrade;Englishgrade;Smoker;EduMother;SizeMother;SmokeMother;EduFather;SizeFather;SmokeFather;ZodiacSign
female;56;173;blue;brown;38;1;2;1;yes;Secondary;160;no;Secondary;165;no;Capricorn
male;67;170;brown;brown;40;;3;;yes;Secondary;156;no;Secondary;165;no;Gemini
male;63;179;green;brown;43;;2;2;no;Upper Secondary;162;yes;Secondary;186;yes;Cancer
male;68;184;blue;darkbrown;42;3;3;2;no;Upper Secondary;174;no;Upper Secondary;188;no;Pisces
male;90;200;brown;brown;50;1;1;1;no;Secondary;175;no;Upper Secondary;180;yes;Scorpio
male;65;170;blue;blonde;41;2;2;3;no;Secondary;155;no;Secondary;180;no;Scorpio
female;67;161;brown;brown;39;1;2;3;yes;Degree;165;no;Upper Secondary;188;no;Pisces
male;72;174;blue;brown;42;2;3;4;yes;Degree;165;no;Degree;168;yes;Aquarius
male;72;183;brown;brown;43;2;3;3;yes;Secondary;165;no;Upper Secondary;180;no;Leo
female;57;163;blue;darkblonde;38;;1;2;no;Secondary;;no;Secondary;;no;Aries
male;60;170;brown;brown;42;;;;yes;Secondary;160;no;Upper Secondary;180;no;Libra
male;65;180;green;brown;42;2;2;2;no;Upper Secondary;165;yes;Secondary;187;yes;Scorpio
male;73;183;brown;darkbrown;42;1;4;;no;Secondary;170;no;Secondary;170;no;Pisces
female;60;174;blue;blonde;41;2;1;;no;Upper Secondary;165;no;Degree;;;Taurus
male;72;175;green;graybrown;43;;;;yes;Secondary;160;no;Upper Secondary;180;no;Gemini
male;76;178;brown;brown;43;4;2;4;no;Upper Secondary;170;no;Upper Secondary;175;no;Taurus
male;86;180;green;brown;43;1;1;1;yes;Degree;160;no;Degree;176;no;Aquarius
male;70;182;brown;brown;43;1;2;2;no;Secondary;159;no;Secondary;173;no;Leo
male;70;181;brown;redbrown;43;;2;3;no;Upper Secondary;175;yes;Secondary;180;yes;Pisces
male;75;175;brown;brown;42;3;3;3;no;Degree;165;no;Degree;182;no;Aquarius
male;70;177;blue;brown;42;;1;;yes;;;;;;;Scorpio
male;70;174;bluegreen;blondebrown;42;1;3;4;yes;Degree;172;yes;Degree;185;no;Gemini
male;52;173;brown;black;41;3;;3;yes;Secondary;155;no;Secondary;172;no;Cancer
male;45;190;blue;brown;42;3;2;2;no;Secondary;174;no;Upper Secondary;180;yes;Aries
male;78;180;graygreen;brown;44;4;2;4;no;Upper Secondary;160;yes;Secondary;190;no;Leo
male;65;180;brown;darkbrown;44;4;4;4;no;Upper Secondary;165;no;Degree;185;no;Leo
male;92;182;bluegray;brown;44;1;1;3;no;Secondary;174;yes;Upper Secondary;176;yes;Virgo
male;65;173;brown;brown;43;1;1;1;no;Secondary;165;no;Secondary;178;no;Pisces
female;53;163;brown;brown;39;1;1;1;no;Degree;169;yes;Degree;169;yes;Aries
female;56;170;brown;brown;39;1;1;2;no;Degree;164;yes;Degree;180;no;Pisces
male;70;183;blue;blonde;42;3;2;;no;Degree;170;no;Degree;180;no;Virgo
